Année de notification;Intitulé exhaustif du marché;Nature du marché;Date de signature;Titulaire;Code postal;Montant minimum HT;Montant maximum HT ou Montant global et forfaitaire HT;Filename
2013;Maitrise d'œuvre pour la rénovation de 4 chaufferies sur 4 établissements du CAS-VP;Services;2013-06-11;Agathe BET;59760;;86547;Open Data 2013
2013;Marché complémentaire au marché de travaux de mise en conformité du SSI Samu social de Paris (hospice Saint Michel);Travaux;2013-06-17;EISS;92220;;27492.07;Open Data 2013
2013;Fourniture et livraison de petits matériels de restauration collective à divers établissements du Centre d'Action Sociale de la Ville de Paris;Fournitures;2013-06-24;Le Froid Bornet;94240;242474.92;969899.68;Open Data 2013
2013;Organisation de déjeuners réveillons destinés aux personnes âgées parisiennes (pendant la période des mois de décembre 2013 et janvier 2014) - Lot n°2;Services;2013-06-25;La Villa d'Este;75008;38700;232200;Open Data 2013
2013;Suivi et support des progiciels PIAF (gestion de l'aide facultative) et PIAF-SAD;Services;2013-07-19;JVS IMPLICIT;51520;1076920;Sans maximum;Open Data 2013
2013;Exploitation, conduite et entretien des centres thermiques et des réseaux d’eau chaude sanitaire associés des établissements relevant du centre d’action sociale de la ville de Paris Lot n°3;Services;2013-07-29;CRAM SAS;78130;320000;Sans maximum;Open Data 2013
2013;Réalisation d'actes de biologie médicale prescrits aux résidents des EHPAd du CAS-VP Lot n°4;Services;2013-07-29;Selas EYLAU UNILAB;75116;Sans minimum;Sans maximum;Open Data 2013
2013;Marché à bons de commande pour la réalisation de travaux d’électricité dans les établissements du CAS-VP Lot n°1;Travaux;2013-07-29;TBES;75018;800000;Sans maximum;Open Data 2013
2013;Marché de prestation juridique, d'assistance et de représentation en justice Lot n°2;Services;2013-08-01;CLL AVOCATS;75010;Sans minimum;Sans maximum;Open Data 2013
2013;Nettoyage Nettoyage des EHPAD Furtado Heine et Cousin de Méricourt - Lot 2 : EHPAD Cousin de Méricourt;Services;2013-08-02;SEQUOIA;94440;Sans minimum;Sans maximum;Open Data 2013
2013;Acquisition, maintenance et prestations d’assistance pour les produits de la gamme Oracle pour les établissements du Centre d’Action Sociale de la Ville de Paris;Fournitures;2013-09-30;DIGORA;67200;60000;Sans maximum;Open Data 2013
2013;Transport par voie aérienne, des personnels du CASVP et de leurs bagages en fret à destination des DOM dans le cadre des congés bonifiés Lot n°4;Services;2013-10-01;Air France;75985;40133.76;167224.08;Open Data 2013
2013;Mise en place d'un Workflow des absences à travers le module Intranet du logiciel de gestion des temps Chronogestor;Services;2013-10-22;GFI Progiciel;93400;25000;100000;Open Data 2013
2013;Réalisation d'actes de biologie médicale prescrits aux résidents des EHPAd du CAS-VP Lot n°1;Services;2013-11-07;Selas EYLAU UNILAB;75116;Sans minimum;Sans maximum;Open Data 2013
2013;Fourniture et livraison de repas à domicile dans les 12eme, 13eme et 14eme arrondissements;Fournitures;2013-11-28;SAVEURS ET VIE;94310;4170616.12;14028436;Open Data 2013
2013;Maintenance, dépannage et réparation des installations de ventilation mécanique contrôlée et équipements associés dans les établissements du Centre d’Action Sociale de la Ville de Paris - Lot n°1;Services;2013-12-02;COFELY;92059;200000;Sans maximum;Open Data 2013
2013;Location entretien de linge pour les CHRS , les CHU et les résidences services Lot n°1: CHRS et CHU;Services;2013-12-30;SAS ANETT NORD PICARDIE;02000;120000;240000;Open Data 2013
2014;Prestations de pédicurie à domicile (lot 2);Services;2014-01-02;Brakha françois;75020;sans minimum;sans;Open Data 2014
2014;Droits d'entrée sur invitation au sein de sites du jardin des plantes du Muséum national d'Histoire naturelle pour le Centre d'Action Sociale de la Ville de Paris;Services;2014-01-13;Muséum d'histoire naturelle;75005;20000;80000;Open Data 2014
2014;Acquisition, intégration, exploitation et maintenance des systèmes de télécommunication de la Ville de Paris, du Département de Paris, du CASVP et de Paris Musée;Services;2014-01-13;Nextiraone;93284;200668.88;602006.68;Open Data 2014
2014;Blanchissage du linge des établissements du CASVP - EHPAD Le Cèdre Bleu (marché subséquent);Services;2014-01-30;Association Les Blanchisseries Severoises;36160;;180000;Open Data 2014
2014;"Fourniture de bons d'achats pour la dotation vestimentaire et de bons d'achats pour le ""Noël des enfants"" de certains agents du CASVP";Fournitures;2014-02-10;Le Cheque Cadhoc;92230;sans minimum;sans minimum;Open Data 2014
2014;Mise en place de stages d'informatique, d'Anglais et d'Espagnol à l'intention des Parisiens retraités et préretraités (à partir de 55 ans) au sein de clubs du Centre d'Action Sociale de la Ville de Paris (lot 1);Services;2014-02-12;REALISATIONS HUMAINES;75002;;24192;Open Data 2014
2014;Diagnostic amiante avant travaux dans les établissements du Centre d’Action Sociale de la Ville de Paris;Services;2014-03-10;AC environnement;42300;200000;sans maximum;Open Data 2014
2014;Rénovation et amélioration de 4 chaufferies dans 4 établissements relevant du CASVP (lot 1);Travaux;2014-03-12;IC Entreprises;92360;;840000;Open Data 2014
2014;Mission mandat de matrîse d'ouvrage pour la restructuration de l'EHPAD Arthur Groussier de Bondy sis 6, avenue Marx Dormoy 93140 BONDY;Services;2014-03-14;ICADE PROMOTION;75168;;383860;Open Data 2014
2014;Blanchissage du linge des établissements du CASVP - EHPAD Cousin de Méricourt (marché subséquent);Services;2014-04-23;SARL 4REV;O2150;;255000;Open Data 2014
2014;Fourniture, installation et mise en service de machines à laver la vaisselle semi-industrielles pour cinq établissements du CASVP (lot 4);Fournitures;2014-06-06;HOBART;77312;22196.5;22196.5;Open Data 2014
2014;Prestation de service pour évaluation externe des cinq CHRS et des quatre CHU du CAS-VP par un organisme habilité par l'ANESM;Services;2014-07-08;KPMG;92939;;75925;Open Data 2014
2014;Organisation de galas destinés aux personnes âgées parisiennes (pendant la période des mois de janvier et février 2015);Services;2014-07-08;TEAM CJ PROMOTION;69003;99450;153000;Open Data 2014
2014;Organisation de déjeuners réveillons destinés aux personnes âgées parisiennes (pendant la période des mois de décembre 2014 et janvier 2015) (lot 3);Services;2014-07-11;Association Itinéraire International;75020;22750;91000;Open Data 2014
2014;"Assistance à maîtrise d'ouvrage
pour audit technique et réglementaire, et estimation du coût de travaux dans le cadre de programmations dans les établissements du CASVP (lot 2)";Services;2014-07-11;SMG INGENIERIE;94100;80000;sans maximum;Open Data 2014
2014;Fourniture de meubles d'office pour les EHPAD (lot 3 : EHPAD HEROLD 66-74 rue du Général Brunet -75019 Paris);Fournitures;2014-08-22;DUNE;78630;58105.22;58105.22;Open Data 2014
2014;Conception, organisation et animation de formation au métier de soignant et à la connaissance de la personne âgée pour les agents du CASVP (lot 4);Services;2014-09-02;OBEA;75005;36000;105000;Open Data 2014
2014;Remplacement des menuiseries extérieures et des stores à l'EHPAD Galignani;Travaux;2014-10-16;HERBERT/ARTEC;94120;;1849586;Open Data 2014
2014;Nettoyage des locaux des résidences appartements, des clubs, des restaurants et des résidences relais du CASVP (lot 2);Services;2014-11-26;EFFI SERVICE;95815;sans minimum;sans maximum;Open Data 2014
2014;Organisation de prestations de séjours de vacances et d'excursions en France Métropolitaine et en Europe destinées aux personnes retraitées pour les années 2015, 2016 et 2017 (lot 1);Services;2014-12-18;Itinéraire international;75020;34776;139104;Open Data 2014
2014;Organisation de prestations de séjours de vacances et d'excursions en France Métropolitaine et en Europe destinées aux personnes retraitées pour les années 2015, 2016 et 2017 (lot 9);Services;2014-12-18;Itinéraire international;75020;192372;769488;Open Data 2014
2014;Organisation de prestations de séjours de vacances et d'excursions en France Métropolitaine et en Europe destinées aux personnes retraitées pour les années 2015, 2016 et 2017 (lot 11);Services;2014-12-18;SPVA;92200;195499.08;781996.32;Open Data 2014
2014;Organisation de prestations de séjours de vacances et d'excursions en France Métropolitaine et en Europe destinées aux personnes retraitées pour les années 2015, 2016 et 2017 (lot 16);Services;2014-12-18;Cap vacances;43102;326939.94;1307759.76;Open Data 2014
2014;Organisation de prestations de séjours de vacances et d'excursions en France Métropolitaine et en Europe destinées aux personnes retraitées pour les années 2015, 2016 et 2017 (lot 13);Services;2014-12-19;Alba Voyages;77484;496121.04;1984484.16;Open Data 2014
2014;Prestations de pédicurie à domicile (lot 6);Services;2014-12-30;Emilie Desrois;75010;sans minimum;sans maximum;Open Data 2014
2014;"Réalisation de travaux tous corps d’état d’aménagement,
de modernisation et de mise aux normes dans les établissements
relevant du Centre d’Action Sociale de la Ville de Paris (lot 1)";Travaux;2014-12-30;DARRAS et JOUANIN;91170;1200000;6000000;Open Data 2014
2014;"Réalisation de travaux tous corps d’état d’aménagement,
de modernisation et de mise aux normes dans les établissements
relevant du Centre d’Action Sociale de la Ville de Paris (lot 2)";Travaux;2014-12-30;DARRAS et JOUANIN;91170;1200000;6000000;Open Data 2014
2016;Réalisation d'actes de biologie médicale prescrits aux résidents des EHPAD du CASVP    Lot 1 : EHPAD Annie Girardot;Services;2016-02-09;BIOPATH;94220;sans;sans;Open Data 2016
2016;Droit d'entrée sur invitation pour des croisières commentées sur la Seine (à Paris) destinées aux Parisiens âgés ou en situation de handicap et à leur familles pour le CASVP;Services;2016-02-25;COFRASE CABARET;75012;20000;80000;Open Data 2016
2016;Modernisation des ascenseurs, monte-charges et plateformes élévatrices pour personnes à mobilité réduite dans les établissements du Centre d'Action Sociale de la Ville de Paris                             Lot 1 : résidence-appartements Présentation, résidence-servics Quintinie Procession, EHPAD Alquier Debrousse et Cousin de Méricourt;Travaux;2016-04-01;CEPA ASCENSEURS;60230;;782611;Open Data 2016
2016;Fourniture, livraison et installation de mobilier pour les établissements du Centre d’Action Sociale de la Ville de Paris (lot 1);Fournitures;2016-04-05;MMO;35500;320000;sans;Open Data 2016
2016;Prestation d'acquisition et d'intégration d'une GED interfacée avec le logiciel ASTRE pour mise en œuvre d'une gestion électronique des documents relatifs aux opérations de dépense et de recette;Fournitures;2016-04-06;GIP MIPIH;31036;sans;1800000;Open Data 2016
2016;Groupement VP-DP-CASVP / Fourniture et acheminement de gaz naturel aux points de comptage et d'estimation du groupement de commande de la collectivitité parisienne et services associées - Lot 1 : Petites consommations - CASVP;Fournitures;2016-06-23;SAVE;75002;sans;sans;Open Data 2016
2016;"Fourniture et maintenance de lave-linge et séche-linge semi-professionnels, professionnels et industriels
Lot 1: Fourniture et  installation de lave-linge et séche-linge semi-professionnels, professionnels et industriels";Fournitures;2016-07-04;MAT'HYGIENNE;77780;80000;320000;Open Data 2016
2016;Fourniture et livraison de pains et viennoiseries à divers établissements du CASVP (lot 1);Fournitures;2016-07-17;BLEDOR;75016;600000;2400000;Open Data 2016
2016;Acquisition, intégration, maintenance et support d'un logiciel de gestion des accès aux restaurants solidaires du CASVP;Services;2016-08-16;IREC;86130;sans;800000;Open Data 2016
2016;Location-entretien de vêtements professionnels pour les agents des EHPAD et des établissements rattachés (lot 1);Services;2016-10-20;ANETT;79100;500000;1333333.32;Open Data 2016
2016;Location-entretien de vêtements professionnels pour les agents des EHPAD et des établissements rattachés (lot 2);Services;2016-10-20;ANETT;79100;500000;1333333.32;Open Data 2016
2016;Réalisation de relevés de températures des réseaux d'Eau Chaude Sanitaire dans des établissements du Centre d'Action Sociale de la Ville de Paris. LOT 1 : Etablissements situés dans les 1er, 2e, 3e, 4e, 5e, 6e, 7e, 8e, 9e, 10e, 14e, 15e, 16e, 17e arrondissements de Paris et dans les Hauts de Seine (92);Services;2016-11-04;A2A Ingénierie;75008;40000;200000;Open Data 2016
2016;Fourniture de produits d'hygiène corporelle et d'accessoires de toilette de gamme standard pour les établissements du Centre d'Action Sociale de la Ville de Paris (lot 2);Fournitures;2016-11-07;CEE;91070;168000;680000;Open Data 2016
2016;Fourniture de produits d'entretien et d'articles de ménage et d'entretien  pour les établissements du CASVP (lot 2);Fournitures;2016-11-08;ARGOS ORAPI HYGIENE;67120;500000;1500000;Open Data 2016
2016;Nettoyage des EHPAD Alquier Debrousse (lot 1), Jardin des Plantes (lot 2) et Julie Siegfried (lot 3) (lot 2);Services;2016-12-13;MAINTENANCE INDUSTRIE;75020;60000;334000;Open Data 2016
2016;Travaux de menuiserie et de vitrerie dans les établissements du CASVP - Lot 2 : Travaux de vitrerie dans les établissements du CASVP;Travaux;2016-12-29;POMMEROL;94350;60000;600000;Open Data 2016
2015;Prestation de pédicurie à domicile (lot 5);Services;2015-01-02;William Rollet;78990;sans;sans;Open Data 2015
2015;Prestation de pédicurie à domicile (lot 13);Services;2015-01-02;Anne-Sophie Galinon;75018;sans;sans;Open Data 2015
2015;Prestation de pédicurie à domicile (lot 9);Services;2015-01-07;Anne Zaigle;75011;sans;sans;Open Data 2015
2015;Transport de fonds et préparation des sacs pour différents sites de la Ville de Paris, du Département de Paris et du Centre d'Action Sociale de la Ville de Paris;Services;2015-03-26;LOOMIS France;93306;sans;sans;Open Data 2015
2015;Prestation de service pour l’intervention d’un diététicien libéral dans un EHPAD du CASVP afin de prévenir la sur-dépendance et la dégradation de l’autonomie des résidents;Services;2015-04-13;Virginie PEPIN;75008;;31680.0;Open Data 2015
2015;Prestation de nettoyage de l'EHPAD Hérold et de l'EHPAD Le Cèdre Bleu - Lot n°2 -EHPAD Le Cèdre Bleu;Services;2015-05-07;ELIOR;92115;sans;sans;Open Data 2015
2015;Organisation de galas destinés aux personnes ägées parisiennes (pendant la période des mois de janvier et février 2016);Services;2015-06-03;ADM Spectacles;93340;100100.0;154000.0;Open Data 2015
2015;Fourniture et prestation de buffets destinés aux personnes retraitées lors de réceptions à l'Hôtel de ville organisées par le CASVP en 2015 et 2016;Services;2015-06-15;MAC'AMANDE;92400;;25090.15;Open Data 2015
2015;Maintenance préventive et curative, dépannage des installations de contrôle d’accès portes automatiques piétons, portes de garage, portails, fermetures métalliques mécanisées et bornes escamotables dans les établissements du CASVP ( lot 1);Services;2015-07-08;RUANO;93330;80000.0;sans;Open Data 2015
2015;Réalisation d'actes de radiologie et d'échographie prescrits aux résidents des EHPAD du Centre d'Action Sociale de la Ville de Paris EHPAD JARDIN DES PLANTES (lot 1);Services;2015-07-08;PARIS RADIOLOGIE;75015;sans;sans;Open Data 2015
2015;Réalisation d'actes de radiologie et d'échographie prescrits aux résidents des EHPAD du Centre d'Action Sociale de la Ville de Paris EHPAD ALQUIER DEBROUSSE (lot 7);Services;2015-07-08;PARIS RADIOLOGIE;75015;sans;sans;Open Data 2015
2015;Réalisation d'actes de radiologie et d'échographie prescrits aux résidents des EHPAD du Centre d'Action Sociale de la Ville de Paris EHPAD BELLEVILLE (lot 8);Services;2015-07-08;PARIS RADIOLOGIE;75015;sans;sans;Open Data 2015
2015;Maintenance préventive et curative, dépannage des installations de contrôle d’accès portes automatiques piétons, portes de garage, portails, fermetures métalliques mécanisées et bornes escamotables dans les établissements du CASVP;Travaux;2015-07-24;RUANO;93330;80000.0;sans;Open Data 2015
2015;Organisation de déjeuners réveillons destinés aux personnes âgées parisiennes (pendant la période des mois de décembre et janvier) (Lot 2);Services;2015-08-11;La villa d'Este;75008;40670.0;162680.0;Open Data 2015
2015;Rédaction de menus, assistance technique et fourniture des denrées correspondant à une commande de repas (petits déjeuners, déjeuners, goûters, dîners), collations et prestations associés pour les établissements du CASVP -Lot 1;Fournitures;2015-10-13;Sodexo;78043;sans;sans;Open Data 2015
2015;Suivi et support du logiciel de gestion des temps Chronogestor et acquisition des lecteurs de badges associés;Services;2015-10-13;GFI;93400;50000.0;sans;Open Data 2015
2015;Financement et gestion de prêts sociaux au profit des agents du Centre d'Action Sociale de la Ville de Paris;Services;2015-11-10;BFM;94420;sans;90000.0;Open Data 2015
2015;Suivi et support du logiciel Titan;Services;2015-11-24;MALTA INFORMATIQUE;33700;400000.0;1600000.0;Open Data 2015
2014;Droits d’entrée sur invitation pour des croisières commentées sur la Seine (à Paris) destinées aux Parisiens âgés ou en situation de handicap et à leurs familles pour le Centre d’Action Sociale de la Ville de Paris au cours des années 2014 et 2015;Services;2014-01-30;SEVPTE -Bateaux Parisiens;75007;20000;80000;Open Data 2014
2014;"Mise en conformité de l'accès au quai de livraison de l'Ehpad ""Alquier Debrousse"" sis 1 Allée Debrousse 75020 PARIS";Travaux;2014-03-06;BATICOLOR - BATIFONDA;94300;;199366.9;Open Data 2014
2014;Modernisation d’ascenseurs, monte-charges et plate formes élévatrices pour personnes à mobilité réduite dans les établissements du CASVP (lot 3);Travaux;2014-03-10;THYSSENKRUPP;49000;;48300;Open Data 2014
2014;Rénovation et amélioration de 4 chaufferies dans 4 établissements relevant du CASVP (lot 4);Travaux;2014-03-12;CRAM;76087;;428999;Open Data 2014
2014;Fourniture, montage et installation de mobilier d'accueil, de salons et de salles à manger pour les salons d'accueil du RDC de l'EHPAD Anselme Payen (marché subséquent);Fournitures;2014-03-13;MACH KUSCH + CO SARL;21910;59823.1;59823.1;Open Data 2014
2014;Prestations de nettoyage de l’EHPAD Villers Cotterêts, de l’EHPAD Anselme Payen et de l’EHPAD Galignani PARIS (lot 1: EHPAD Villers Cotterêts);Services;2014-03-14;ELIOR SERVICES PROPRETE ET SANTE;92115;sans minimum;sans maximum;Open Data 2014
2014;Fourniture et installation de mobilier de bureau pour les établissements du CASVP (lot 2);Fournitures;2014-03-20;EUROSIT;58028;100333.72;401337.76;Open Data 2014
2014;Blanchissage du linge des établissements du CASVP - EHPAD Alquier Debrousse (marché subséquent);Services;2014-04-23;SARL 4REV;O2150;;450000;Open Data 2014
2014;Fourniture et prestation de buffets aux personnes retraitées lors de réceptions à l'Hôtel de Ville de Paris organisées par le CASVP en 2014 et 2015;Fournitures;2014-05-09;MAC'AMANDE;92400;25429.95;25429.95;Open Data 2014
2014;Mission de repérage de réseaux et de préconisations de dévoiement en vue du classement de l'Allée Alquier debrousse - 75020 Paris dans le domaine public;Services;2014-05-23;GLI;75012;;64000;Open Data 2014
2014;Fourniture de couvre-lits, de coussins et de leurs housses assorties pour quatre EHPAD du CASVP;Fournitures;2014-05-27;DBL;84100;89000;89000;Open Data 2014
2014;Fourniture, installation et mise en service de machines à laver la vaisselle semi-industrielles pour cinq établissements du CASVP (lot 2);Fournitures;2014-06-06;HOBART;77312;28434.01;28434.01;Open Data 2014
2014;Fourniture, montage et installation de chambres pour les EHPAD et les résidences services - équipement des chambres des EHPAD en tables adaptables (marché subséquent);Fournitures;2014-06-12;EDENA;86200;24989;24989;Open Data 2014
2014;Externalisation de prestations de services de maintien en propreté et de bio-nettoyage des locaux et services associés (marché subséquent : prestations de nettoyage de l'EHPAD Oasis);Services;2014-07-17;PROMAIN;78130;sans minimum;sans maximum;Open Data 2014
2014;Marché complémentaire à procédure adaptée concernant la mission complémentaire de maîtrise d’œuvre relatif aux travaux de restructuration du Foyer logements « Faubourg du Temple » sis 119, rue du Faubourg du Temple 75010 Paris.;Services;2014-07-30;Société RERAT Architecture et Urbanisme;75016;;32237;Open Data 2014
2014;Conception, organisation et animation de formation au métier de soignant et à la connaissance de la personne âgée pour les agents du CASVP (lot 1);Services;2014-08-26;GRETA;75018;108000;195000;Open Data 2014
2014;Entretien des ascenseurs, monte-charges, monte-dossiers et plates-formes élévatrices pour personnes à mobilité réduite dans les établissements relevant du CASVP (lot 4);Services;2014-09-30;THYSSENKRUPP;92816;360000;sans maximum;Open Data 2014
2014;Fourniture et livraison de repas à domicile dans les 5/6/7/8/9/15/16 arrondissements (lot 1);Fournitures;2014-11-10;Saveurs et vie;94310;2850000;3135000;Open Data 2014
2014;Approvisionnement en livraison unique, en denrées alimentaires brutes nécessaires à la confection des repas (lot 1);Fournitures;2014-11-10;NORMAPRO;94320;sans minimum;sans minimum;Open Data 2014
2014;Fourniture et livraison de produits d’épicerie en livraison unique à divers établissements du CASVP;Fournitures;2014-11-10;NORMAPRO;94320;sans minimum;sans minimum;Open Data 2014
2014;Nettoyage des locaux des résidences appartements, des clubs, des restaurants et des résidences relais du CASVP (lot 1);Services;2014-11-26;EFFI SERVICE;95815;sans minimum;sans maximum;Open Data 2014
2014;Conception, organisation et animation de formations relatives à l’hygiène et à la sécurité pour les agents du Centre d’Action Sociale de la Ville de Paris (lot 2);Services;2014-12-09;SOFIS;56410;24000;96000;Open Data 2014
2014;Prestations de tierce maintenance applicative pour les applications AIDA et REST@ du centre d'Action Sociale de la Ville de Paris;Services;2014-12-15;VIVERIS SYSTEMES;92100;40000;204000;Open Data 2014
2014;Organisation de prestations de séjours de vacances et d'excursions en France Métropolitaine et en Europe destinées aux personnes retraitées pour les années 2015, 2016 et 2017 (lot 3);Services;2014-12-18;Sea Voyages;92200;26218.62;104874.48;Open Data 2014
2014;Organisation de prestations de séjours de vacances et d'excursions en France Métropolitaine et en Europe destinées aux personnes retraitées pour les années 2015, 2016 et 2017 (lot 4);Services;2014-12-18;Itinéraire international;75020;38088;152352;Open Data 2014
2014;Organisation de prestations de séjours de vacances et d'excursions en France Métropolitaine et en Europe destinées aux personnes retraitées pour les années 2015, 2016 et 2017 (lot 5);Services;2014-12-18;Sea Voyages;92200;26218.62;104874.48;Open Data 2014
2014;Organisation de prestations de séjours de vacances et d'excursions en France Métropolitaine et en Europe destinées aux personnes retraitées pour les années 2015, 2016 et 2017 (lot 7);Services;2014-12-18;Itinéraire international;75020;156492;625968;Open Data 2014
2014;Entretien, maintenance et dépannage des systèmes et équipements concourant à la sécurité incendie dans les établissements du Centre d'Action Sociale de la Ville de Paris (lot 2);Services;2014-12-29;SETELEC;94832;400000;sans maximum;Open Data 2014
2014;Entretien, maintenance et dépannage des systèmes et équipements concourant à la sécurité incendie dans les établissements du Centre d'Action Sociale de la Ville de Paris (lot 1);Services;2014-12-30;ERIS;94320;400000;sans maximum;Open Data 2014
2014;Prestations de pédicurie à domicile (lot 2);Services;2014-12-30;Matthieu Faudemer;94130;sans minimum;sans maximum;Open Data 2014
2015;Modernisation de ascenseurs, monte-charges et plate-formes élévatrices pour personnes à mobilité réduite dans les établissements du CASVP (Lot 3);Travaux;2015-02-02;CEPA ASCENSEURS;60230;;52150.0;Open Data 2015
2015;Fourniture de papier d'essuyage et de distributeurs afférents pour divers établissements du Centre d'Action Sociale de la Ville de Paris -Lot 1;Fournitures;2015-03-30;HERSAND Delaisy kargo;95200;sans;sans;Open Data 2015
2015;Fourniture de papier d'essuyage et de distributeurs afférents pour divers établissements du Centre d'Action Sociale de la Ville de Paris -Lot 2;Fournitures;2015-03-30;SPENCO;77230;sans;sans;Open Data 2015
2015;Entretien des toitures-terrasses avec éléments porteurs en maçonnerie, des gouttières et chêneaux des établissements du CASVP;Services;2015-03-31;THOISON;94240;93611.2;sans;Open Data 2015
2015;Acquisition de moteurs et harnais pour système de lève-personnes sur rail de transfert plafond pour les EHPAD Huguette Valescchi et Harmonie;Fournitures;2015-04-13;HILL ROM SAS;56330;0.0;89000.0;Open Data 2015
2015;Rénovation et amélioration de 4 chaufferies dans 4 établissements relevant du CASVP, Lot n°2: Rénovation du centre thermique et amélioration des réseaux de distribution de chaleur et d'eau chaude sanitaire de la Résidence appartements- 7, rue Furtado Heine - 75014 Paris;Travaux;2015-05-07;CELSIO;92752;;323947.41;Open Data 2015
2015;Prestation de nettoyage de l'EHPAD Hérold et de l'EHPAD Le Cèdre Bleu - Lot n°1 -EHPAD Hérold;Services;2015-05-07;SEQUOIA;94440;sans;sans;Open Data 2015
2015;Mission de prestations intellectuelles pour la mise à jour des DTA(Dossiers Techniques Amiante);Services;2015-06-05;TILALYS Architectes;92390;sans;sans;Open Data 2015
2015;Nettoyage des vitres et des points lumineux des établissements du CASVP (lot 1);Services;2015-06-17;Maintenance Industrie;75020;920000.0;2666666.68;Open Data 2015
2015;Réalisation d'actes de radiologie et d'échographie prescrits aux résidents des EHPAD du Centre d'Action Sociale de la Ville de Paris EHPAD L'OASIS (lot 5);Services;2015-07-08;PARIS RADIOLOGIE;75015;sans;sans;Open Data 2015
2015;Réalisation d'actes de radiologie et d'échographie prescrits aux résidents des EHPAD du Centre d'Action Sociale de la Ville de Paris EHPAD HEROLD (lot 6);Services;2015-07-08;PARIS RADIOLOGIE;75015;sans;sans;Open Data 2015
2015;Réalisation d'actes de radiologie et d'échographie prescrits aux résidents des EHPAD du Centre d'Action Sociale de la Ville de Paris EHPAD GALIGNANI (lot 9);Services;2015-07-08;PARIS RADIOLOGIE;75015;sans;sans;Open Data 2015
2015;Maintenance préventive et curative, dépannage des installations de contrôle d’accès portes automatiques piétons, portes de garage, portails, fermetures métalliques mécanisées et bornes escamotables dans les établissements du CASVP (lot 2);Services;2015-07-24;RUANO;93330;80000.0;sans;Open Data 2015
2015;Organisation de déjeuners réveillons destinés aux personnes âgées parisiennes (pendant la période des mois de décembre et janvier) (Lot 3);Services;2015-08-11;Association itinairaire International;75020;45850.0;183400.0;Open Data 2015
2015;Maitrise d'œuvre pour la révision de 4 chaufferies sur 4 établissements du CASVP;Services;2015-08-23;Agathe Bet;59759;;60900.0;Open Data 2015
2015;Organisation de prestations de séjour de vacances et d'excursions en France métropolitaine et en Europe destinées aux personnes retraitées pour les années 2016 et 2017 (lot 14);Services;2015-10-09;Ipanema;69244;353280.0;1413120.0;Open Data 2015
2015;Rédaction de menus, assistance technique et fourniture des denrées correspondant à une commande de repas (petits déjeuners, déjeuners, goûters, dîners), collations et prestations associés pour les établissements du CASVP -Lot 2;Fournitures;2015-10-13;Normapro;62820;sans;sans;Open Data 2015
2015;Fourniture de tracteurs de manutention électriques pour certains établissements du CASVP;Fournitures;2015-10-14;SAS T-Elec;69740;0.0;70000.0;Open Data 2015
2015;Réalisation de missions relatives à la sécurité et à la protection de la santé des travailleurs (lot 2);Services;2015-10-14;BECS;92100;74000.0;sans;Open Data 2015
2015;Nettoyage des restaurants solidaires du CASVP ouverts en soirée;Services;2015-11-09;COFRANETH/LFC PROP;91160;180000.0;1400000.0;Open Data 2015
